etiqueta,mensaje
ham,¿A qué hora nos vemos para almorzar?
ham,No olvides traer tu cuaderno.
ham,Nos vemos mañana a las 10:00 para la reunión.
ham,¿Cómo estás? Hace tiempo que no nos vemos.
ham,¿Te interesa ir al cine este fin de semana?
ham,Este es tu último recordatorio para pagar la factura.
ham,No olvides llevar la documentación para la cita.
ham,Recuerda que tienes una cita con el dentista mañana.
ham,Nos vemos en la reunión el jueves.
ham,Te esperamos en el restaurante a las 8:00 PM.
ham,¡Felicidades por tu nuevo empleo!
ham,No olvides recoger tus boletos para el concierto.
ham,Recuerda que tienes una cita médica la próxima semana.
ham,Aquí tienes el enlace para tu pago.
ham,Recuerda que la entrega de tus documentos es el lunes.
ham,¿Te gustaría ir a la playa este fin de semana?
ham,Nos vemos el viernes para estudiar juntos.
ham,¡Qué bien vernos después de tanto tiempo!
ham,¿Cómo te va en el trabajo?
ham,Quiero agradecerte por tu ayuda en el proyecto.
ham,Nos vemos el sábado para la fiesta.
ham,Este es tu último aviso para pagar la factura pendiente.
ham,Tu pedido será entregado en dos días.
ham,Recuerda que tienes un examen la próxima semana.
ham,¿Te gustaría acompañarnos al cine el sábado?
ham,Tu reserva ha sido confirmada.
ham,Te invitamos a nuestro evento de este mes.
ham,Tu suscripción será renovada automáticamente.
ham,Recuerda que la tienda cierra a las 7:00 PM.
ham,No olvides que la reunión es el miércoles a las 10:00 AM.
ham,¡Te tenemos una sorpresa! Ven a vernos pronto.
ham,Gracias por ser parte de nuestro programa.
ham,¡Te esperamos en la conferencia!
ham,No olvides comprar los boletos para el concierto.
ham,"Tu cuenta está activa, ¡disfruta de tus beneficios!"
ham,Recuerda que los productos estarán en oferta hasta el domingo.
ham,Nos gustaría contar con tu presencia en la reunión.
ham,"Por favor, confirma tu asistencia a la conferencia."
ham,Tu pedido ha sido procesado exitosamente.
ham,¡Nos vemos en la reunión de mañana!
ham,Tu envío llegará en las próximas 24 horas.
ham,Recuerda que tienes una cita en el dentista el lunes.
ham,Este es tu recordatorio para tu cita de trabajo.
ham,¿Cómo te va con el proyecto que estamos trabajando?
ham,Te esperamos en la próxima reunión de equipo.
ham,Tu paquete ha sido enviado.
ham,Recuerda que debes hacer el pago antes del 15 de mayo.
ham,Gracias por registrarte en el evento.
ham,¿Cómo te va con tu nueva rutina de ejercicio?
ham,La reunión se llevará a cabo el martes a las 9:00 AM.
ham,Tienes un mensaje importante de tu banco.
ham,¡Te invitamos a nuestra fiesta de fin de año!
ham,Tu cuenta ha sido actualizada correctamente.
ham,Tu entrada para el evento ha sido confirmada.
ham,Gracias por asistir a nuestro taller.
ham,Nos gustaría saber tu opinión sobre el servicio.
ham,Recuerda que debes entregar tu informe antes del viernes.
ham,Aquí tienes la información sobre el evento que mencionaste.
ham,Tu código de descuento es válido hasta el domingo.
ham,Tu paquete llegará mañana a las 5:00 PM.
ham,¡Estamos muy felices de que te unas a nuestro programa!
ham,Nos gustaría saber cómo fue tu experiencia con nosotros.
ham,Recuerda que tienes una reunión con el equipo de ventas el martes.
ham,Tu cuenta ha sido verificada correctamente.
ham,"Gracias por tu compra, ¡disfruta de tus productos!"
ham,Recuerda que tienes un examen el viernes.
ham,No olvides traer todos los documentos necesarios para tu cita.
ham,Recuerda revisar tus correos para obtener más información.
ham,¡Nos encantaría verte en nuestro próximo evento!
ham,Gracias por tu tiempo en nuestra conferencia.
ham,Nos alegra saber que te gustó el producto.
ham,Recuerda que el pago de tu suscripción es automático.
ham,Nos vemos en el evento de este sábado.
ham,Tu inscripción en el taller ha sido confirmada.
ham,Recuerda que tu pedido será entregado en 48 horas.
ham,Tu cuenta de correo ha sido suspendida.
ham,Recuerda que la tienda cierra a las 8:00 PM.
ham,Gracias por ser parte de nuestro proyecto.
spam,¡Felicidades! Has ganado un premio de $5000.
spam,¡Haz clic aquí para reclamar tu premio ahora mismo!
spam,¡Gana un iPhone nuevo solo por registrarte!
spam,"Última oportunidad para ganar un auto nuevo, solo responde a este mensaje."
spam,¿Quieres ganar $1000? Haz clic aquí para participar.
spam,"¡Felicitaciones, has sido seleccionado para una beca!"
spam,Participa en nuestra encuesta y gana un premio.
spam,¡Gana dinero desde casa con solo hacer clic en este enlace!
spam,"Te hemos seleccionado para un sorteo, haz clic aquí para participar."
spam,¡Haz clic aquí y gana una tarjeta de regalo de $100!
spam,Recuerda que solo quedan 24 horas para recibir un descuento del 50%.
spam,¡Compra ahora y recibe un descuento de $100!
spam,Haz clic aquí para obtener tu descuento exclusivo.
spam,"Te has ganado un viaje a París, haz clic para más detalles."
spam,¿Quieres ganar $5000? Solo necesitas responder este mensaje.
spam,Última oportunidad para obtener una suscripción gratuita.
spam,Haz clic para ver tu descuento exclusivo de tiempo limitado.
spam,¡Felicidades! Has ganado un celular de última generación.
spam,Participa y gana una laptop nueva.
spam,"Este es tu último aviso, haz clic para reclamar tu premio."
spam,¡Gana dinero fácil con solo hacer clic aquí!
spam,Recuerda que solo tienes 10 minutos para aprovechar esta oferta.
spam,Haz clic aquí para ganar un coche nuevo.
spam,Te invitamos a participar en nuestro programa exclusivo de premios.
spam,¡Gana dinero en efectivo con solo responder a este mensaje!
spam,¡Aprovecha nuestra oferta y compra ahora con un 70% de descuento!
spam,¡Gana premios por solo registrarte en nuestro sitio web!
spam,Haz clic para obtener más detalles sobre esta increíble oferta.
spam,¡Ganaste un premio! Solo haz clic aquí para reclamarlo.
spam,Este es un recordatorio para que ganes un vale de $50.
spam,¡Aprovecha nuestra oferta exclusiva y compra ahora!
spam,¡Haz clic ahora y obtén un descuento en tu compra!
spam,Has ganado una tarjeta de regalo de $200.
spam,¡Participa en nuestro sorteo y gana un celular gratis!
spam,¡Gana un paquete de vacaciones en las mejores playas del mundo!
spam,Haz clic aquí para obtener tu regalo sorpresa.
spam,¡Participa en el concurso y gana una consola de videojuegos!
spam,Última oportunidad para ganar un premio de $1000.
spam,¡Haz clic aquí para ver los resultados de tu participación!
spam,¡Obtén tu cupón de descuento exclusivo solo por hoy!
spam,"Te has ganado una laptop, solo confirma tu dirección."
spam,Haz clic aquí para obtener más información sobre cómo ganar dinero.
spam,¡Haz clic ahora y gana un increíble premio!
spam,Participa en nuestro evento y gana un coche.
spam,¡Recibe un bono de bienvenida de $50 por registrarte!
spam,"Tu cuenta ha sido hackeada, cambia tu contraseña ahora."
spam,¡Haz clic ahora y gana una tablet!
spam,¡Gana una entrada para el concierto de tu banda favorita!
spam,Participa en el sorteo de este mes y gana $1000.
spam,¡Haz clic aquí para participar en nuestra oferta limitada!
spam,Este es un mensaje exclusivo solo para ti.
spam,¡Haz clic y obtén una sorpresa especial solo hoy!
spam,¡Compra ahora y gana un premio increíble!
spam,"¡Solo por hoy, obtén un descuento del 60% en tu compra!"
spam,Tu oportunidad para ganar un coche está aquí.
spam,Participa en nuestro concurso y gana un viaje a Europa.
spam,Haz clic ahora para obtener tu premio exclusivo.
spam,¡Recibe una recompensa por completar una encuesta online!
spam,¡Regístrate y participa para ganar una consola de videojuegos!
spam,Última oportunidad para participar en el sorteo del mes.
spam,Haz clic para ver cómo ganar un premio grande.
spam,¡Obtén tu tarjeta de regalo ahora!
spam,"¡Gana un coche, solo responde este mensaje!"
spam,¡Este es tu último aviso para reclamar tu premio!
spam,¡Haz clic para ganar un iPhone!
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,Recuerda llevar la documentación para la cita del médico.
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,Recuerda llevar la documentación para la cita del médico.
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,Mamá me dijo que estarás en casa este fin de semana.
spam,Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com
ham,¿Qué planes tienes para el próximo feriado?
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,¿Qué planes tienes para el próximo feriado?
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,¿Qué planes tienes para el próximo feriado?
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,Recuerda llevar la documentación para la cita del médico.
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com
ham,Nos vemos en la cafetería después del trabajo.
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,¿Qué planes tienes para el próximo feriado?
spam,Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.
ham,"Voy a llegar un poco tarde, hay mucho tráfico."
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,Mamá me dijo que estarás en casa este fin de semana.
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,¿Puedes enviarme el informe antes de la tarde?
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,Mamá me dijo que estarás en casa este fin de semana.
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,¿Puedes enviarme el informe antes de la tarde?
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,Nos vemos en la cafetería después del trabajo.
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,¿Puedes enviarme el informe antes de la tarde?
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,Recuerda llevar la documentación para la cita del médico.
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,No olvides la reunión de mañana a las 10 AM.
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,¿Qué planes tienes para el próximo feriado?
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,No olvides la reunión de mañana a las 10 AM.
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,Nos vemos en la cafetería después del trabajo.
spam,Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,Nos vemos en la cafetería después del trabajo.
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,Nos vemos en la cafetería después del trabajo.
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,Recuerda llevar la documentación para la cita del médico.
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,Recuerda llevar la documentación para la cita del médico.
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,Recuerda llevar la documentación para la cita del médico.
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,Mamá me dijo que estarás en casa este fin de semana.
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,Recuerda llevar la documentación para la cita del médico.
spam,Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,No olvides la reunión de mañana a las 10 AM.
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,No olvides la reunión de mañana a las 10 AM.
spam,Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com
ham,Recuerda llevar la documentación para la cita del médico.
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,¿Puedes enviarme el informe antes de la tarde?
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,No olvides la reunión de mañana a las 10 AM.
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,¿Qué planes tienes para el próximo feriado?
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,Recuerda llevar la documentación para la cita del médico.
spam,Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.
ham,Nos vemos en la cafetería después del trabajo.
spam,Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,Nos vemos en la cafetería después del trabajo.
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,Nos vemos en la cafetería después del trabajo.
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,¿Qué planes tienes para el próximo feriado?
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.
ham,"Voy a llegar un poco tarde, hay mucho tráfico."
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,Nos vemos en la cafetería después del trabajo.
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,Recuerda llevar la documentación para la cita del médico.
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.
ham,¿Qué planes tienes para el próximo feriado?
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,¿Qué planes tienes para el próximo feriado?
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,No olvides la reunión de mañana a las 10 AM.
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,Recuerda llevar la documentación para la cita del médico.
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,Recuerda llevar la documentación para la cita del médico.
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,Recuerda llevar la documentación para la cita del médico.
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,No olvides la reunión de mañana a las 10 AM.
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,¿Puedes enviarme el informe antes de la tarde?
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,Nos vemos en la cafetería después del trabajo.
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,Mamá me dijo que estarás en casa este fin de semana.
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,No olvides la reunión de mañana a las 10 AM.
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,Nos vemos en la cafetería después del trabajo.
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,Nos vemos en la cafetería después del trabajo.
spam,Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com
ham,¿Puedes enviarme el informe antes de la tarde?
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,¿Puedes enviarme el informe antes de la tarde?
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,No olvides la reunión de mañana a las 10 AM.
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,¿Puedes enviarme el informe antes de la tarde?
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,¿Puedes enviarme el informe antes de la tarde?
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,"Voy a llegar un poco tarde, hay mucho tráfico."
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,Nos vemos en la cafetería después del trabajo.
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,"Voy a llegar un poco tarde, hay mucho tráfico."
spam,Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.
